policy_name,viewpoint_generation_mode,path_safety_mode,clue_acquisition_mode,clue_mode_note,robot_pos_before,segment_path,next_cell,target_cell_source,segment_path_0_equals_robot_pos_before,next_cell_equals_segment_path_1,final_projected_cell_equals_next_cell,target_world,final_world,ticks,arrived,timeout,distance_to_target_m,final_projected_cell,replanned,replan_reason,committed_viewpoint,committed_anchor,anchor_source,found_count,completed_steps,path_length,remaining_intensity_mass,search_info_map_peak,search_info_map_mean
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[1, 1]","[[1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[1, 2]",algorithm_segment_path,True,True,True,"[-190.0, 195.0]","[-192.4856414794922, 194.7570037841797, 0.1712648570537567]",100,True,False,2.4974908859643716,"[1, 2]",True,initial_plan|commit_expired|segment_empty,"[38, 39]","[41, 41]",search_info,0,1,1,3.000000000000001,1.0,0.9432250989025946
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[1, 2]","[[1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 2]",algorithm_segment_path,True,True,True,"[-190.0, 190.0]","[-190.09954833984375, 192.4911651611328, 0.17608925700187683]",193,True,False,2.493153371136144,"[2, 2]",False,none,"[38, 39]","[41, 41]",search_info,0,2,2,3.000000000000001,1.0,0.9336855934815597
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 2]","[[2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 3]",algorithm_segment_path,True,True,True,"[-185.0, 190.0]","[-187.48692321777344, 190.0667266845703, 0.17651395499706268]",205,True,False,2.4878182291988966,"[2, 3]",False,none,"[38, 39]","[41, 41]",search_info,0,3,3,3.0,1.0,0.9393824346970352
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 3]","[[2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 4]",algorithm_segment_path,True,True,True,"[-180.0, 190.0]","[-182.49295043945312, 190.0545654296875, 0.17120730876922607]",220,True,False,2.4935475290610585,"[2, 4]",False,none,"[38, 39]","[41, 41]",search_info,0,4,4,3.000000000000001,1.0,0.938711366265883
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 4]","[[2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 5]",algorithm_segment_path,True,True,True,"[-175.0, 190.0]","[-177.49351501464844, 190.00003051757812, 0.1708773374557495]",220,True,False,2.4935150148351863,"[2, 5]",False,none,"[38, 39]","[41, 41]",search_info,0,5,5,2.999999999999999,1.0,0.9376193881881684
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 5]","[[2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 6]",algorithm_segment_path,True,True,True,"[-170.0, 190.0]","[-172.49325561523438, 190.00064086914062, 0.1709478199481964]",220,True,False,2.4932556975992246,"[2, 6]",True,commit_expired,"[38, 39]","[41, 41]",search_info,0,6,6,3.0,1.0,0.9201655515511393
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 6]","[[2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 7]",algorithm_segment_path,True,True,True,"[-165.0, 190.0]","[-167.49313354492188, 189.99998474121094, 0.17095503211021423]",220,True,False,2.493133544968569,"[2, 7]",False,none,"[38, 39]","[41, 41]",search_info,0,7,7,3.0,1.0,0.9350737733622165
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 7]","[[2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 8]",algorithm_segment_path,True,True,True,"[-160.0, 190.0]","[-162.4930877685547, 190.00001525878906, 0.17094558477401733]",220,True,False,2.4930877686013826,"[2, 8]",False,none,"[38, 39]","[41, 41]",search_info,0,8,8,3.0,1.0,0.93360510380843
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 8]","[[2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 9]",algorithm_segment_path,True,True,True,"[-155.0, 190.0]","[-157.49307250976562, 190.0, 0.17100372910499573]",220,True,False,2.493072509765625,"[2, 9]",False,none,"[38, 39]","[41, 41]",search_info,0,9,9,3.0,1.0,0.932699123340457
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 9]","[[2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 10]",algorithm_segment_path,True,True,True,"[-150.0, 190.0]","[-152.49307250976562, 190.0, 0.1708945482969284]",220,True,False,2.493072509765625,"[2, 10]",False,none,"[38, 39]","[41, 41]",search_info,0,10,10,3.0000000000000004,1.0,0.9315434178940118
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 10]","[[2, 10], [2, 11], [2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 11]",algorithm_segment_path,True,True,True,"[-145.0, 190.0]","[-147.49307250976562, 190.0, 0.17104609310626984]",220,True,False,2.493072509765625,"[2, 11]",True,commit_expired,"[38, 39]","[41, 41]",search_info,0,11,11,3.0,1.0,0.929562232953834
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 11]","[[2, 11], [2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 12]",algorithm_segment_path,True,True,True,"[-140.0, 190.0]","[-142.49307250976562, 190.0, 0.17099162936210632]",220,True,False,2.493072509765625,"[2, 12]",False,none,"[38, 39]","[41, 41]",search_info,0,12,12,2.999999999999999,1.0,0.9269465125300189
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 12]","[[2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 13]",algorithm_segment_path,True,True,True,"[-135.0, 190.0]","[-137.49307250976562, 190.0, 0.17100811004638672]",220,True,False,2.493072509765625,"[2, 13]",False,none,"[38, 39]","[41, 41]",search_info,0,13,13,3.0000000000000004,1.0,0.9272375227494645
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 13]","[[2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 14]",algorithm_segment_path,True,True,True,"[-130.0, 190.0]","[-132.49307250976562, 190.0, 0.1709318608045578]",220,True,False,2.493072509765625,"[2, 14]",False,none,"[38, 39]","[41, 41]",search_info,0,14,14,3.0,1.0,0.9250109525483965
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 14]","[[2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 15]",algorithm_segment_path,True,True,True,"[-125.0, 190.0]","[-127.49307250976562, 190.0, 0.17098654806613922]",220,True,False,2.493072509765625,"[2, 15]",False,none,"[38, 39]","[41, 41]",search_info,0,15,15,2.9999999999999982,1.0,0.9219411298928651
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 15]","[[2, 15], [2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 16]",algorithm_segment_path,True,True,True,"[-120.0, 190.0]","[-122.49307250976562, 190.0, 0.1709611862897873]",220,True,False,2.493072509765625,"[2, 16]",True,commit_expired,"[39, 39]","[42, 41]",search_info,0,16,16,3.0,1.0,0.9211614434916838
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 16]","[[2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 17]",algorithm_segment_path,True,True,True,"[-115.0, 190.0]","[-117.49307250976562, 190.0, 0.17096075415611267]",220,True,False,2.493072509765625,"[2, 17]",False,none,"[39, 39]","[42, 41]",search_info,0,17,17,3.0000000000000004,1.0,0.9221624466936663
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 17]","[[2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 18]",algorithm_segment_path,True,True,True,"[-110.0, 190.0]","[-112.49307250976562, 190.0, 0.1710074245929718]",220,True,False,2.493072509765625,"[2, 18]",False,none,"[39, 39]","[42, 41]",search_info,0,18,18,2.9999999999999996,1.0,0.9106843080291495
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 18]","[[2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 19]",algorithm_segment_path,True,True,True,"[-105.0, 190.0]","[-107.49307250976562, 190.0, 0.1709783673286438]",220,True,False,2.493072509765625,"[2, 19]",False,none,"[39, 39]","[42, 41]",search_info,0,19,19,3.000000000000001,1.0,0.9190039766350803
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 19]","[[2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 20]",algorithm_segment_path,True,True,True,"[-100.0, 190.0]","[-102.49307250976562, 190.0, 0.1710146963596344]",220,True,False,2.493072509765625,"[2, 20]",False,none,"[39, 39]","[42, 41]",search_info,0,20,20,3.000000000000001,1.0,0.9183288528231901
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3A long-run smoke,"[2, 20]","[[2, 20], [2, 21], [2, 22], [2, 23], [2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 21]",algorithm_segment_path,True,True,True,"[-95.0, 190.0]","[-97.49307250976562, 190.0, 0.17093415558338165]",220,True,False,2.493072509765625,"[2, 21]",True,commit_expired,"[39, 40]","[42, 42]",search_info,0,21,21,3.0,1.0,0.917632612587
