scene,scenario_kind,sequence_step,reporter_usv_id,agent_id,sensor_id,recommended_rule_id,expected_target_present_for_audit,expected_duplicate_observation_for_audit,raw_sensor_found,accepted_candidate,teammate_rejected,range_limited,outcome,estimated_world_position,target_world_location_for_audit,target_position_error_m,observer_world_location,matched_range_m,bearing_deg,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,beam_yaw_error_deg,local_range_scaled_blob_present,local_range_scaled_best_blob,local_blob_area,local_blob_range_scaled_area,local_blob_min_range_scaled_area,sphere_blob_local_candidate_count,sphere_blob_candidate_count,rgb_changed_pixels,rgb_change_bbox_xyxy,rangefinder_raw_beams,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,nearest_teammate_agent_name,nearest_teammate_distance_m,within_teammate_exclusion_radius,teammate_exclusion_radius_m,reliable_distance_limit_m,rgb_artifact,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
baseline_two_observers_search_pose,baseline,0,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,False,true_negative_event,,,,"[0.0, -5.0, 0.0]",,,,,,,False,,0,,12000.0,0,0,0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],,,,False,10.0,35.0,baseline_GP\results\holoocean_bridge_v1\phase5d2_multi_surfacevessel_static_sphereagent_coop_search\visuals\baseline_two_observers_search_pose_sv0_rgb.png,False,False,False,False
baseline_two_observers_search_pose,baseline,0,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,False,true_negative_event,,,,"[0.0, 5.0, 0.0]",,,,,,,False,,0,,12000.0,0,0,0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],,,,False,10.0,35.0,baseline_GP\results\holoocean_bridge_v1\phase5d2_multi_surfacevessel_static_sphereagent_coop_search\visuals\baseline_two_observers_search_pose_sv1_rgb.png,False,False,False,False
target_sphere_duplicate_20m_two_observers,target,1,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,True,True,True,False,True,candidate_positive,"[19.6455920603481, 0.26402052740154947, 0.0]","[20.0, 0.0, 0.5]",0.441940976350572,"[0.0, -5.0, 0.0]",20.338613510131836,15.0,13.538782051282052,3,15.0,1.4612179487179482,True,"{""area"": 39, ""aspect"": 1.3333333333333333, ""cx"": 119.12820512820512, ""cy"": 131.56410256410257, ""fill"": 0.8125, ""h"": 6, ""w"": 8, ""x"": 116, ""y"": 129}",39,16132.708781066172,12000.0,1,1,56,"[116, 129, 123, 136]","[-1.0, -1.0, -1.0, 20.338613510131836, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[3],20.338613510131836,sv1,20.208384125567445,False,10.0,35.0,baseline_GP\results\holoocean_bridge_v1\phase5d2_multi_surfacevessel_static_sphereagent_coop_search\visuals\target_sphere_duplicate_20m_two_observers_sv0_rgb.png,False,False,False,False
target_sphere_duplicate_20m_two_observers,target,1,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,True,True,True,False,True,candidate_positive,"[19.64110776266975, -0.2628189634600142, 0.0]","[20.0, 0.0, 0.5]",0.44483417761016053,"[0.0, 5.0, 0.0]",20.33397102355957,-15.0,-13.041168478260872,9,-15.0,1.9588315217391283,True,"{""area"": 46, ""aspect"": 1.1428571428571428, ""cx"": 199.3695652173913, ""cy"": 132.1086956521739, ""fill"": 0.8214285714285714, ""h"": 7, ""w"": 8, ""x"": 196, ""y"": 129}",46,19019.63736900017,12000.0,1,1,52,"[196, 129, 203, 136]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 20.33397102355957, -1.0, -1.0, -1.0]",[9],20.33397102355957,sv0,20.204306430010412,False,10.0,35.0,baseline_GP\results\holoocean_bridge_v1\phase5d2_multi_surfacevessel_static_sphereagent_coop_search\visuals\target_sphere_duplicate_20m_two_observers_sv1_rgb.png,False,False,False,False
target_sphere_35m_with_surfacevessel_teammate,target_with_teammate,2,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,True,True,False,True,candidate_positive,"[34.55525207519531, -5.0, 0.0]","[35.0, -5.0, 0.5]",0.4447479248046875,"[0.0, -5.0, 0.0]",34.55525207519531,0.0,0.23660714285714554,6,0.0,0.23660714285714554,True,"{""area"": 14, ""aspect"": 1.0, ""cx"": 159.28571428571428, ""cy"": 126.64285714285714, ""fill"": 0.875, ""h"": 4, ""w"": 4, ""x"": 158, ""y"": 125}",14,16716.91624372406,12000.0,3,1,289,"[25, 121, 161, 137]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 34.55525207519531, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],34.55525207519531,teammate_extra0,21.133725527499788,False,10.0,35.0,baseline_GP\results\holoocean_bridge_v1\phase5d2_multi_surfacevessel_static_sphereagent_coop_search\visuals\target_sphere_35m_with_surfacevessel_teammate_sv0_rgb.png,False,False,False,False
target_sphere_35m_with_surfacevessel_teammate,target_with_teammate,2,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,False,candidate_negative,,"[35.0, -5.0, 0.5]",,"[0.0, 5.0, 0.0]",,,,,,,False,,0,,12000.0,3,2,212,"[91, 121, 207, 137]","[-1.0, -1.0, 21.085468292236328, 22.237045288085938, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[2, 3]",21.085468292236328,,,False,10.0,35.0,baseline_GP\results\holoocean_bridge_v1\phase5d2_multi_surfacevessel_static_sphereagent_coop_search\visuals\target_sphere_35m_with_surfacevessel_teammate_sv1_rgb.png,False,False,False,False
teammate_only_surfacevessel_at_20m_target_like_pose,teammate_only,3,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,False,true_negative_event,,,,"[0.0, -5.0, 0.0]",,,,,,,False,,0,,12000.0,3,2,202,"[104, 122, 131, 138]","[-1.0, -1.0, -1.0, 18.443044662475586, 21.626323699951172, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[3, 4]",18.443044662475586,,,False,10.0,35.0,baseline_GP\results\holoocean_bridge_v1\phase5d2_multi_surfacevessel_static_sphereagent_coop_search\visuals\teammate_only_surfacevessel_at_20m_target_like_pose_sv0_rgb.png,False,False,False,False
teammate_only_surfacevessel_at_20m_target_like_pose,teammate_only,3,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,False,true_negative_event,,,,"[0.0, 5.0, 0.0]",,,,,,,False,,0,,12000.0,0,0,181,"[188, 122, 215, 139]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 21.626325607299805, 18.447031021118164, -1.0, -1.0, -1.0]","[8, 9]",18.447031021118164,,,False,10.0,35.0,baseline_GP\results\holoocean_bridge_v1\phase5d2_multi_surfacevessel_static_sphereagent_coop_search\visuals\teammate_only_surfacevessel_at_20m_target_like_pose_sv1_rgb.png,False,False,False,False
teammate_only_surfacevessel_at_35m_target_like_pose,teammate_only,4,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,False,true_negative_event,,,,"[0.0, -5.0, 0.0]",,,,,,,False,,0,,12000.0,0,0,32,"[154, 121, 165, 129]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 32.80702209472656, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[6],32.80702209472656,,,False,10.0,35.0,baseline_GP\results\holoocean_bridge_v1\phase5d2_multi_surfacevessel_static_sphereagent_coop_search\visuals\teammate_only_surfacevessel_at_35m_target_like_pose_sv0_rgb.png,False,False,False,False
teammate_only_surfacevessel_at_35m_target_like_pose,teammate_only,4,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,False,true_negative_event,,,,"[0.0, 5.0, 0.0]",,,,,,,False,,0,,12000.0,1,0,65,"[198, 121, 214, 130]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.97453308105469, -1.0, -1.0, -1.0]",[9],33.97453308105469,,,False,10.0,35.0,baseline_GP\results\holoocean_bridge_v1\phase5d2_multi_surfacevessel_static_sphereagent_coop_search\visuals\teammate_only_surfacevessel_at_35m_target_like_pose_sv1_rgb.png,False,False,False,False
